dst,repulink_score
1,0.017934673886668008
7,0.01704118646569261
35,0.014012154541291968
2642,0.00862602196607429
13,0.0061982591547638495
1810,0.005920740137287969
202,0.00575873468425075
2028,0.005289554015032267
60,0.005249601844305734
1386,0.004860830558569076
905,0.0044079187896602125
1018,0.004239086234278669
4172,0.004160779942228561
41,0.003979132763053848
4,0.003907224871780429
2125,0.0037373953366272284
25,0.003628631848303715
908,0.003534032500797811
775,0.003477791159380941
1396,0.0033193997889738106
1566,0.0033013018328597113
2,0.0031466494547612383
1217,0.003135847851035094
64,0.003095296999863941
4197,0.0030459347450641776
1953,0.002996885204698899
135,0.002941541350065091
6,0.002939438256962407
832,0.002894683680039815
104,0.002891855937984401
1317,0.002889570511553137
546,0.0027218439787175222
304,0.002719502315139973
4291,0.002659687117752368
62,0.0025767020475011898
21,0.0025610598212926477
1899,0.0025342297298150585
1201,0.0024892582835221713
2296,0.002397310588520733
523,0.0023793494496301823
39,0.0023784299511239943
1334,0.0023547702455709273
1352,0.002338549311733595
3735,0.002287709344473413
468,0.002286166951422338
57,0.0022492795165090246
36,0.0022318790051490817
198,0.002216962868726066
1162,0.002158458120740747
2067,0.0021555846988502987
1565,0.0021324107748802077
882,0.0021180793551868918
17,0.002084024450261131
1615,0.0020824089468221806
353,0.0020175903888778554
2625,0.00201536069751237
537,0.002004708935653063
729,0.001997130063016727
1744,0.001990055208073608
23,0.0019739031275039544
20,0.0019678451166863157
725,0.0019306987609948457
29,0.0019180081994027785
132,0.0019073853117571396
545,0.001836238241328738
270,0.0018288555012408929
492,0.0018075526391472302
1585,0.0017893881249740704
215,0.0017862404384247704
1731,0.0017774089087366676
144,0.0017526374335807963
2198,0.001716005407180239
77,0.0016890471984764251
2045,0.001665751729200517
295,0.0016638984949434077
1832,0.0016381198674656425
28,0.0016279703359139734
923,0.0016171205985363681
2942,0.0015995464668392464
51,0.0015841848119697171
143,0.0015415633271118423
687,0.0015309435403820038
634,0.0015072846180166123
3897,0.0014992726159163438
1771,0.0014921661786039227
2388,0.0014886981915609864
550,0.0014863160221641372
69,0.0014687055250671016
418,0.001451718209703308
1316,0.0014418430433216682
1281,0.0014310170194273707
257,0.0014219802597986607
1620,0.0014177970008242126
1555,0.0014048790597437678
113,0.0013953963605142798
1383,0.0013940018397748909
3828,0.0013900524692696615
209,0.0013896264977831232
2118,0.0013781465940570724
3,0.0013608375824595638
93,0.0013518939286930969
401,0.0013447003916630146
1363,0.0013285526743788204
1053,0.001325882723539993
8,0.001325241660182588
3988,0.0013150164699935912
96,0.0013115743277415683
171,0.0013114489962933369
54,0.0013108683806323834
484,0.0013099135089170784
592,0.0013089201266554492
249,0.0013078185173342586
696,0.001289745551544533
3451,0.0012847223880708266
103,0.0012774425943573862
2635,0.0012717568875180428
178,0.0012690297346710112
3018,0.0012656657137622132
346,0.001263955789019542
1860,0.001263340244766099
3649,0.001259356929688098
570,0.0012358996505473928
81,0.0012285179853131776
522,0.0012272616238195718
707,0.0012251914111119336
937,0.001218423433708908
780,0.001212308437808982
632,0.0012003372177399935
280,0.0011955035387779106
33,0.001180036005224401
1013,0.001178830743855839
34,0.001176460663436923
1366,0.0011653474377299558
1690,0.0011603925312952273
1802,0.001153526408784076
3219,0.0011393771897453366
10,0.001139038774140463
141,0.0011378901505017718
1185,0.0011363149070960656
223,0.0011276574294726855
19,0.0011259099768786854
732,0.0011234621566538108
72,0.0011191412822625837
540,0.0011023606798785971
726,0.0010985851605113538
149,0.0010888528615224783
1094,0.0010809604709976172
2647,0.0010745964514097812
1656,0.0010745330215636698
159,0.0010690059800716634
630,0.0010646933060175655
245,0.0010545283505233416
443,0.0010520656705659446
273,0.001050729924412529
2725,0.0010425487319509327
722,0.001042285555890305
61,0.0010387847772862372
678,0.0010338274915694238
363,0.0010213112331635052
1675,0.0010080250723251511
978,0.0010075143328269348
3598,0.001007274422295208
309,0.0010068515666628987
97,0.00099805433853712
256,0.000994621651192345
4649,0.000988370858467987
1693,0.0009870521709157518
737,0.000986812032980015
45,0.0009765267880433967
383,0.0009740387316981449
101,0.0009699228087729136
520,0.0009692252082925559
1764,0.0009647694200140903
31,0.0009584520345254714
74,0.0009581729052209906
2063,0.0009564037141874924
350,0.0009487557407450237
206,0.0009454811149659752
4559,0.0009446405165834504
37,0.0009296337302909345
110,0.0009281035178198877
664,0.0009277787006834577
2404,0.0009229727441097341
3916,0.000918526246110607
689,0.0009185086605787307
46,0.0009139666670226073
760,0.0009125168845504311
1179,0.0009071568342111818
770,0.0009045238293317436
647,0.000904088196957763
235,0.0008977690626599674
1257,0.0008934735644552439
561,0.000892290852608252
735,0.0008833018820104645
1714,0.0008779411103748213
278,0.0008749972088257255
134,0.0008720477053456008
127,0.0008702661425855115
15,0.0008701727615788157
425,0.0008671020219065859
654,0.0008663710927613879
390,0.000864065646988447
415,0.0008595417427139859
2266,0.0008587442129684852
1846,0.000853390818405882
2173,0.0008505585378045397
230,0.0008475271419750793
361,0.0008474047439018334
1251,0.0008458057034603702
4611,0.0008447089529380732
1921,0.000842421546193074
2600,0.000839902338390004
119,0.0008346790780847575
5227,0.0008300826396408618
2176,0.0008257663389982934
635,0.0008195345484301696
395,0.0008190146516053422
387,0.0008150619106059814
715,0.000812357751009854
125,0.0008119661386268272
1100,0.0008072014820315311
1948,0.0008061620152744294
4833,0.0008047723694495643
3837,0.0008042382740470613
551,0.0008013627630739598
883,0.0008004463463725543
243,0.000799746365922674
2110,0.0007977460704693695
717,0.0007966925347818583
663,0.0007915837617612543
446,0.0007910349063041456
1437,0.00078599188061319
2835,0.0007845303340176986
3719,0.0007826647763453575
777,0.0007825224003288733
4635,0.0007720374694792573
535,0.0007714699816262509
2397,0.0007703716325132813
394,0.0007665601121906753
274,0.0007595587743978669
301,0.0007594316925906453
1669,0.0007591512090513318
1247,0.0007484119381076422
1543,0.0007439233474099904
449,0.0007432545017553567
1092,0.0007366583979748516
365,0.0007355277854775039
2188,0.0007349887441915561
4694,0.0007349417503114745
563,0.0007326602084514259
1029,0.0007312171086710564
3820,0.000729552357922427
222,0.000729514951848135
80,0.0007294032682317876
167,0.0007285646515942858
1245,0.0007256545577508942
405,0.0007232643800094803
534,0.0007213378205207393
547,0.000719519073929764
78,0.0007190060889710816
75,0.0007174906111899314
283,0.0007167777989154555
4107,0.0007133067132965296
1701,0.0007080754197805501
920,0.0007038378957241722
204,0.0007021588448980667
1885,0.0007020698940996561
5612,0.0006962788526872694
1529,0.0006933954555217744
921,0.0006908132573889259
115,0.0006898956419901525
1268,0.0006893726164077372
312,0.0006890611894317532
2113,0.0006883112934701216
109,0.0006840718139237096
1629,0.000682690533997203
1064,0.0006804975876309379
1719,0.0006796083951131318
1035,0.0006785636871292084
588,0.0006776095441188697
849,0.0006755232060986505
1001,0.0006737463946071174
374,0.0006718858698566767
408,0.0006717749261222435
296,0.0006676658142259093
699,0.0006650788084668368
900,0.0006643064504082085
88,0.000662809574040469
769,0.0006627777241045898
148,0.000660860605932928
1164,0.0006601535737034019
433,0.0006601069532110016
228,0.0006569154911485227
1191,0.000644784691319606
107,0.0006416496963204932
