A,B,C,D,timeslot
0.2499997615814209,0.2499997615814209,0.2499997615814209,0.2499997615814209,-1
0.2558887052428554,0.2555775948621148,0.20691061750301468,0.28162208239215764,0
0.2551131705572945,0.21668025716543043,0.2221635242668815,0.3060420480105183,1
0.27165862559734655,0.21827997568415664,0.19549256404114893,0.3145678346774545,2
0.2881159166890039,0.20670011397759736,0.17606306560044885,0.32911990373304867,3
0.2971726213931864,0.19969686863175243,0.156409241140035,0.3467202688351108,4
0.3039670128131303,0.18508333685942252,0.1444531650123744,0.36649548531514853,5
0.31485085845422794,0.1696851859133347,0.13115654235072532,0.3843064132817685,6
0.31772834587392124,0.16032392534654105,0.1336906008051668,0.38825612797442116,7
0.31655960320823523,0.15738843064952676,0.13077145604582902,0.3952795100964548,8
0.31395765486265614,0.15938335023987663,0.1267328557487143,0.3999251391487901,9
